Nom_Principal_Activitat;Nom_Sector_Activitat;Nom_Grup_Activitat;X_UTM_ETRS89;Y_UTM_ETRS89
Actiu;Comerç al detall;Parament de la llar;431652.660977022;4581613.21766417
Actiu;Comerç al detall;Quotidià no alimentari;431627.790931469;4581627.86430711
Actiu;Comerç al detall;Altres;431623.88095231;4581629.46525644
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431619.535123566;4581632.41109792
Actiu;Comerç al detall;Altres;431628.999758972;4581637.12564579
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431632.905518971;4581635.07785032
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431701.419680814;4581729.61700566
Actiu;Comerç al detall;Equipament personal;431668.472315639;4581684.45780312
Actiu;Serveis;Activitats immobiliàries;431673.485233643;4581692.78960971
Actiu;Comerç al detall;Quotidià no alimentari;431707.479548538;4581741.96063083
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431714.925054483;4581758.53658857
Actiu;Comerç al detall;Equipament personal;431718.254793857;4581766.77237111
Actiu;Comerç al detall;Equipament personal;431710.230707687;4581772.09873892
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431670.75555727;4581676.83938754
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431679.349267644;4581684.35534939
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431675.331010287;4581698.24634064
Actiu;Comerç al detall;Parament de la llar;431686.449041103;4581699.92906728
Actiu;Comerç al detall;Parament de la llar;431684.843320436;4581696.1458194
Actiu;Comerç al detall;Quotidià alimentari;431695.00127387;4581738.72675232
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431697.298678866;4581744.51442546
Actiu;Comerç al detall;Equipament personal;431416.824024185;4581755.76611253
Actiu;Comerç al detall;Equipament personal;431420.59004902;4581750.81491031
Actiu;Comerç al detall;Equipament personal;431423.146863605;4581748.44457184
Actiu;Serveis;Altres;431413.188227085;4581750.77316463
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431425.923783548;4581745.62537329
Actiu;Comerç al detall;Equipament personal;431429.818774242;4581742.46040054
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431552.748348724;4581910.88538637
Actiu;Comerç al detall;Quotidià alimentari;431574.080090452;4581901.37772811
Actiu;Comerç al detall;Quotidià no alimentari;431557.090900311;4581907.60455791
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431579.104549887;4581899.35308711
Actiu;Comerç al detall;Equipament personal;431584.198218521;4581892.49029346
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431587.862624903;4581888.65741523
Actiu;Altres;Altres;431609.219804739;4581870.24593205
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431616.597249101;4581867.71846691
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431617.234219474;4581863.91406685
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431620.570724496;4581860.97796731
Actiu;Serveis;Sanitat i assistència;431626.043811335;4581858.24176487
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431629.701196319;4581854.07711161
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431634.718574529;4581851.0133526
Actiu;Comerç al detall;Equipament personal;431639.59642357;4581847.23444819
Actiu;Comerç al detall;Equipament personal;431628.076503089;4581848.28311048
Actiu;Comerç al detall;Equipament personal;431623.956103184;4581851.33829829
Actiu;Serveis;Equipaments culturals i recreatius;431636.207297318;4581842.39705793
Actiu;Comerç al detall;Equipament personal;431654.144526435;4581829.9388976
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431649.116504073;4581831.88557664
Actiu;Serveis;Activitats immobiliàries;431646.347964235;4581835.59838734
Actiu;Comerç al detall;Quotidià alimentari;431662.616998279;4581824.60823597
Actiu;Serveis;Ensenyament;431560.8840142;4581917.39984
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431568.566106984;4581911.51794644
Actiu;Serveis;Altres;431684.697663005;4581740.1644446
Actiu;Comerç al detall;Equipament personal;431656.694113948;4581687.66435176
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431655.874861579;4581668.60075984
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431730.980841465;4582010.52976636
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431737.303205343;4582015.05055567
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431748.649658323;4582029.13140698
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431673.246369297;4581952.87043074
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431682.52423259;4581961.60846855
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431690.547517582;4581968.12401316
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431696.315659824;4581973.3202707
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431748.012344785;4581997.18703055
Actiu;Serveis;Altres;431740.214436695;4581990.7809949
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431701.422487553;4581979.7516275
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431711.480995903;4581988.03545369
Actiu;Serveis;Altres;431758.865082717;4582006.46880009
Actiu;Serveis;Altres;431428.754881576;4581701.13429468
Actiu;Serveis;Equipaments culturals i recreatius;431474.967296565;4581725.83392034
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431490.517501362;4581745.57293262
Actiu;Serveis;Altres;431496.764030423;4581753.89273547
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431458.683946153;4581699.73395814
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431457.348735803;4581712.70592269
Actiu;Comerç al detall;Equipament personal;431466.909655364;4581715.74370963
Actiu;Comerç al detall;Equipament personal;431463.733994517;4581711.97524619
Actiu;Comerç al detall;Equipament personal;431461.795892561;4581720.48435654
Actiu;Comerç al detall;Equipament personal;431466.675769174;4581726.58261697
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431755.700838479;4581741.95318992
Actiu;Altres;Altres;431651.112419142;4581496.59480469
Actiu;Comerç al detall;Quotidià alimentari;431532.630816527;4581538.26859398
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431453.964679622;4581603.92254662
Actiu;Serveis;Ensenyament;431461.972921775;4581596.91996344
Actiu;Altres;Altres;431429.514878736;4581627.39176351
Actiu;Altres;Altres;431400.854898175;4581656.26348061
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431361.721362418;4581727.79956469
Actiu;Serveis;Finances i assegurances;431353.377931499;4581711.23245927
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431372.713583851;4581704.34607743
Actiu;Altres;Altres;431564.006900272;4581488.14395274
Actiu;Comerç al detall;Quotidià alimentari;431540.791950456;4581511.82494466
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431529.158025633;4581526.79399631
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431533.580123214;4581520.04877182
Actiu;Altres;Altres;431505.818515637;4581549.13550659
Actiu;Serveis;Altres;431457.364180855;4581655.05833053
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431459.248173358;4581664.53687027
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431469.261022434;4581642.95785782
Actiu;Comerç al detall;Equipament personal;431474.21285197;4581657.91550025
Actiu;Comerç al detall;Quotidià alimentari;431743.733222025;4581638.16672257
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431801.681200667;4581730.2366997
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431802.385571669;4581733.58167817
Actiu;Serveis;Finances i assegurances;431811.247560251;4581745.78731902
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431819.108731675;4581758.89616459
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431836.043494832;4581782.86792105
Actiu;Comerç al detall;Quotidià no alimentari;431844.339415031;4581794.52034331
Actiu;Serveis;Altres;431847.523244556;4581799.18255803
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431855.953396642;4581813.17975613
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431861.063424238;4581819.94638716
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431752.153235607;4581651.04695653
Actiu;Comerç al detall;Equipament personal;431756.595899378;4581658.37871833
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431864.267191065;4581826.73105835
Actiu;Comerç al detall;Quotidià alimentari;431868.602765108;4581834.62225392
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431874.146552429;4581839.82087209
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431881.670093087;4581852.821041
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431888.138137034;4581860.91558866
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431892.685392082;4581867.4641428
Actiu;Comerç al detall;Quotidià alimentari;431769.37154173;4581681.27266439
Actiu;Comerç al detall;Altres;431776.319030377;4581692.60262611
Actiu;Comerç al detall;Quotidià no alimentari;431782.564219363;4581700.81109778
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431789.651050758;4581715.04436847
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431793.744647301;4581721.03877272
Actiu;Serveis;Altres;431726.113951191;4582053.36225823
Actiu;Comerç al detall;Altres;431719.445252667;4582059.68110268
Actiu;Serveis;Altres;431731.431883618;4582046.49756473
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431781.866774103;4581995.9744149
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431767.740055167;4582008.17265789
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431802.701988159;4581971.13888311
Actiu;Comerç al detall;Quotidià alimentari;431821.29932756;4581955.94440276
Actiu;Altres;Altres;431829.404926528;4581947.37769433
Actiu;Serveis;Altres;431838.057488372;4581937.35360076
Actiu;Serveis;Activitats immobiliàries;431849.29121159;4581927.52862792
Actiu;Serveis;Altres;431846.406284598;4581930.79556754
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431858.618653228;4581917.72160115
Actiu;Serveis;Altres;431883.943814904;4581891.90046276
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431892.702423754;4581881.2050532
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431783.651839876;4581947.36154622
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431791.338683751;4581953.8802573
Actiu;Serveis;Altres;431798.932678009;4581938.61544516
Actiu;Serveis;Altres;431592.362267248;4581902.02081963
Actiu;Altres;Altres;431596.317106293;4581917.0651202
Actiu;Altres;Altres;431508.742727446;4581716.13024772
Actiu;Comerç al detall;Equipament personal;431499.364708344;4581720.57587104
Actiu;Serveis;Altres;431461.366177319;4581746.18370163
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431539.759291278;4581711.14485505
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431553.865121443;4581696.71148702
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431572.241367392;4581695.08556483
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431563.234761897;4581691.37212636
Actiu;Serveis;Altres;431457.604462691;4581739.73967291
Actiu;Altres;Altres;431453.255595127;4581742.35034074
Actiu;Comerç al detall;Equipament personal;431448.691994402;4581745.9685152
Actiu;Comerç al detall;Equipament personal;431475.210419725;4581739.68473306
Actiu;Altres;Altres;431488.275015888;4581733.75185766
Actiu;Comerç al detall;Equipament personal;431501.220116055;4581727.03805272
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431505.464277631;4581725.21048733
Actiu;Comerç al detall;Altres;431510.491282801;4581723.1520249
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431523.449089595;4581717.77869598
Actiu;Comerç al detall;Quotidià no alimentari;431495.76832866;4581838.36104685
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431493.431543617;4581840.28239089
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431497.248010951;4581852.53514317
Actiu;Serveis;Equipaments culturals i recreatius;431514.570724197;4581822.54285612
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431498.664580292;4581848.1647774
Actiu;Serveis;Equipaments culturals i recreatius;431543.050473365;4581798.36611206
Actiu;Serveis;Equipaments culturals i recreatius;431524.501013925;4581828.42387923
Actiu;Serveis;Ensenyament;431550.612198979;4581791.59156253
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431572.067987061;4581771.72646241
Actiu;Serveis;Equipaments culturals i recreatius;431566.055015486;4581776.25202771
Actiu;Comerç al detall;Altres;431559.717287417;4581782.0095267
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431586.6465146;4581759.85844081
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431580.200850588;4581766.06371796
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431570.537884411;4581787.82835476
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431576.565617372;4581784.86670886
Actiu;Comerç al detall;Altres;431579.634648101;4581777.3526457
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431585.8581632;4581771.3728541
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431592.103752065;4581767.73888701
Actiu;Comerç al detall;Quotidià alimentari;431488.456223074;4581859.6564659
Actiu;Comerç al detall;Quotidià no alimentari;431480.738365274;4581849.89833393
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431491.766274008;4581853.92763885
Actiu;Comerç al detall;Quotidià alimentari;431613.305955245;4581744.74819771
Actiu;Comerç al detall;Altres;431609.956745284;4581746.34375267
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431625.247300326;4581738.60267295
Actiu;Comerç al detall;Equipament personal;431620.557700173;4581740.76945465
Actiu;Serveis;Altres;431606.879934658;4581764.91817735
Actiu;Altres;Altres;431631.483449572;4581733.96324725
Actiu;Comerç al detall;Parament de la llar;431595.572872775;4581755.08188878
Actiu;Comerç al detall;Quotidià alimentari;431591.33187169;4581757.24456586
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431601.976739219;4581768.2042652
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431599.472148629;4581752.36385693
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431614.452212557;4581759.26065252
Actiu;Comerç al detall;Quotidià no alimentari;431602.481817051;4581750.43619678
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431619.801890468;4581755.74697099
Actiu;Comerç al detall;Altres;431606.500685919;4581748.49901197
Actiu;Comerç al detall;Equipament personal;431623.25803374;4581753.59171723
Actiu;Serveis;Altres;431521.079125538;4581680.59851518
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431692.893189983;4581657.86167749
Actiu;Comerç al detall;Equipament personal;431696.417847132;4581662.96750383
Actiu;Altres;Altres;431696.906910964;4581679.16235448
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431699.092207989;4581684.95119582
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431701.604398506;4581689.73137401
Actiu;Comerç al detall;Equipament personal;431715.568986181;4581672.17155154
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431721.816367819;4581680.60345157
Actiu;Serveis;Finances i assegurances;431687.876142611;4581649.08300826
Actiu;Serveis;Finances i assegurances;431645.204101118;4581583.57019003
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431707.12110932;4581644.43282725
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431711.45012242;4581639.69986526
Actiu;Comerç al detall /Engròs;Altres;431715.128410013;4581637.31906418
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431722.514548606;4581635.68529774
Actiu;Serveis;Finances i assegurances;431733.766487689;4581627.75890084
Actiu;Comerç al detall;Quotidià alimentari;431660.10341508;4581605.66216861
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431666.14984154;4581616.55374925
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431669.667081129;4581620.87777234
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431673.771362399;4581627.98917636
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431678.672100967;4581636.32193325
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431684.462628035;4581643.86433266
Actiu;Serveis;Altres;431617.583353374;4581568.18980486
Actiu;Comerç al detall;Equipament personal;431621.102752838;4581572.73717357
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431737.676439642;4581733.29723021
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431745.078852011;4581721.49703322
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431762.502232258;4581713.95943481
Actiu;Comerç al detall;Equipament personal;431769.638725144;4581709.64695683
Actiu;Comerç al detall;Altres;431397.3141815;4581696.85131543
Actiu;Comerç al detall;Quotidià alimentari;431405.93682446;4581695.54082208
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431416.669918411;4581692.08761287
Actiu;Comerç al detall;Altres;431423.388394493;4581691.01855277
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431430.544883443;4581688.82807609
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431438.040923714;4581686.96969918
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431442.633094516;4581686.36766564
Actiu;Comerç al detall;Equipament personal;431454.264358304;4581683.01770935
Actiu;Comerç al detall;Equipament personal;431460.416855976;4581681.39545462
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431465.223856228;4581679.78593122
Actiu;Comerç al detall;Equipament personal;431470.482527479;4581678.50722271
Actiu;Comerç al detall;Equipament personal;431479.993836605;4581676.29463594
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431487.71837568;4581674.88092807
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431499.668100718;4581669.62889571
Actiu;Comerç al detall;Altres;431505.485382971;4581668.12154317
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431509.294721845;4581667.7503411
Actiu;Comerç al detall;Equipament personal;431515.896883896;4581666.23557819
Actiu;Comerç al detall;Quotidià alimentari;431520.599170083;4581665.40905385
