Nom_Principal_Activitat;Nom_Sector_Activitat;Nom_Grup_Activitat;X_UTM_ETRS89;Y_UTM_ETRS89
Actiu;Comerç al detall;Quotidià alimentari;431526.319030716;4581665.46680518
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431531.250846584;4581665.19670198
Actiu;Comerç al detall;Equipament personal;431535.505605706;4581664.48611057
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431520.291433176;4581656.58610278
Actiu;Comerç al detall;Equipament personal;431546.050351222;4581664.83337404
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431554.015076864;4581665.0933289
Actiu;Comerç al detall;Equipament personal;431450.633856118;4581666.74099815
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431445.150929071;4581668.02184263
Actiu;Comerç al detall;Equipament personal;431526.226133342;4581655.63624078
Actiu;Comerç al detall;Equipament personal;431530.822552559;4581655.48111236
Actiu;Comerç al detall;Altres;431561.423312573;4581665.80543728
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431539.217848238;4581653.83773316
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431534.624593725;4581654.32790964
Actiu;Comerç al detall;Altres;431549.060307945;4581651.06341534
Actiu;Serveis;Ensenyament;431543.800547826;4581652.23027089
Actiu;Comerç al detall;Equipament personal;431555.327172459;4581649.66366181
Actiu;Comerç al detall;Quotidià alimentari;431562.056143277;4581614.07283988
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431592.003451822;4581541.03802908
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431428.565048313;4581775.87613438
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431392.711319347;4581779.23194912
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431397.589018623;4581785.10679561
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431389.765181853;4581776.01992776
Actiu;Comerç al detall;Equipament personal;431416.656786419;4581785.48487093
Actiu;Comerç al detall;Quotidià no alimentari;431413.381694294;4581783.05803745
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431410.657701185;4581779.62062707
Actiu;Comerç al detall;Equipament personal;431406.357546723;4581775.52774958
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431395.381304768;4581765.13005233
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431404.386721714;4581792.41582985
Actiu;Serveis;Finances i assegurances;431409.133329541;4581796.28109076
Actiu;Comerç al detall;Equipament personal;431442.594002776;4581812.61033647
Actiu;Comerç al detall;Parament de la llar;431438.292828944;4581808.40575578
Actiu;Comerç al detall;Quotidià alimentari;431434.660160165;4581803.7479625
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431427.187561683;4581796.22189876
Actiu;Comerç al detall;Equipament personal;431422.213629622;4581792.02369427
Actiu;Comerç al detall;Quotidià alimentari;431413.101246164;4581800.82389267
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431423.509393406;4581810.44490878
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431464.326155472;4581833.85452564
Actiu;Comerç al detall;Altres;431459.922394494;4581830.65637535
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431433.02467432;4581820.52116669
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431439.824422434;4581828.05360274
Actiu;Comerç al detall;Altres;431476.794732613;4581847.92479487
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431474.187224647;4581844.93303776
Actiu;Comerç al detall;Quotidià alimentari;431447.984591421;4581837.13722968
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431459.327660205;4581850.77111822
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431470.523699442;4581860.71983005
Actiu;Serveis;Altres;431368.614349667;4581733.32021888
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431502.058769105;4581875.05661069
Actiu;Comerç al detall;Altres;431481.168604306;4581871.67913202
Actiu;Comerç al detall;Equipament personal;431488.523666923;4581878.64777733
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431511.893325592;4581883.34228374
Actiu;Comerç al detall;Altres;431508.160235495;4581879.91437654
Actiu;Comerç al detall;Altres;431494.301448924;4581884.84925932
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431498.942162155;4581889.38574544
Actiu;Comerç al detall;Quotidià alimentari;431516.994046978;4581889.10340537
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431504.605693499;4581895.36492655
Actiu;Comerç al detall;Equipament personal;431527.307753365;4581900.62448707
Actiu;Comerç al detall;Quotidià alimentari;431522.321197297;4581895.0856684
Actiu;Comerç al detall;Quotidià alimentari;431510.730372599;4581902.68030874
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431532.395865269;4581905.04496046
Actiu;Comerç al detall;Altres;431538.975410957;4581913.02645642
Actiu;Comerç al detall;Altres;431534.559064534;4581908.48782521
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431531.902506533;4581924.04145964
Actiu;Comerç al detall;Quotidià alimentari;431543.950248006;4581917.33642453
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431542.315595705;4581934.22095573
Actiu;Serveis;Altres;431546.848264733;4581939.20538136
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431552.321763994;4581925.07739056
Actiu;Comerç al detall;Quotidià no alimentari;431550.36120148;4581943.08216556
Actiu;Comerç al detall;Altres;431356.584445928;4581741.92484424
Actiu;Comerç al detall;Parament de la llar;431569.556483718;4581945.13517964
Actiu;Comerç al detall;Quotidià alimentari;431566.837899873;4581942.25624491
Actiu;Serveis;Finances i assegurances;431559.819424686;4581935.28445402
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431556.764470082;4581932.40870033
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431553.863582726;4581945.84199527
Actiu;Comerç al detall;Quotidià no alimentari;431580.991233917;4581956.64563632
Actiu;Comerç al detall;Altres;431576.911386012;4581952.10380252
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431557.161769268;4581950.72639479
Actiu;Comerç al detall;Altres;431560.668364129;4581953.93296581
Actiu;Altres;Altres;431565.989101332;4581959.24504243
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431616.354514271;4581984.57580959
Actiu;Comerç al detall /Engròs;Altres;431612.173044141;4581981.15208244
Actiu;Comerç al detall;Oci i cultura;431591.155063995;4581987.94169608
Actiu;Altres;Altres;431598.25921374;4581992.11979029
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431646.253410829;4582013.36376702
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431635.570665715;4582005.48806481
Actiu;Serveis;Activitats immobiliàries;431600.867755387;4581995.22316417
Actiu;Comerç al detall;Parament de la llar;431666.278548009;4582034.48808283
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431657.796213227;4582026.85972895
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431627.667434104;4582030.71899048
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431639.786350602;4582043.45171933
Actiu;Comerç al detall;Quotidià no alimentari;431680.101467198;4582049.55094491
Actiu;Serveis;Altres;431672.844132799;4582041.01724484
Actiu;Comerç al detall;Quotidià alimentari;431647.377971551;4582051.75873338
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431690.448423387;4582062.18477421
Actiu;Altres;Altres;431683.289507364;4582054.65960531
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431655.531306752;4582060.17203977
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431671.954170121;4582077.44447226
Actiu;Comerç al detall;Parament de la llar;431374.401955003;4581740.52709913
Actiu;Comerç al detall;Quotidià no alimentari;431381.045311366;4581767.05335917
Actiu;Altres;Altres;431384.613411752;4581753.05464755
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431386.815870051;4581772.47296513
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431614.042378422;4581941.58704794
Actiu;Altres;Altres;431614.440227967;4581971.8583768
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431620.979019978;4581928.00399628
Actiu;Serveis;Altres;431624.355854405;4581953.10815493
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431624.199158013;4581924.62210688
Actiu;Altres;Altres;431626.559432955;4581948.95388753
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431636.633761946;4581899.48032909
Actiu;Altres;Altres;431644.135311695;4581886.33875
Actiu;Serveis;Equipaments culturals i recreatius;431632.964914565;4581938.50385986
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431647.070114715;4581876.4800648
Actiu;Comerç al detall;Equipament personal;431644.423199465;4581881.1970905
Actiu;Altres;Altres;431651.303683929;4581873.53540577
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431654.391718167;4581868.03213871
Actiu;Altres;Altres;431635.818124625;4581931.88574366
Actiu;Serveis;Equipaments culturals i recreatius;431636.776706631;4581926.51436609
Actiu;Serveis;Altres;431659.339557437;4581857.59577681
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431663.094101109;4581851.41594976
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431648.823900533;4581907.85576433
Actiu;Comerç al detall;Equipament personal;431669.726075694;4581841.18710085
Actiu;Comerç al detall;Equipament personal;431666.282688083;4581844.68287925
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431655.223129985;4581896.73553981
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431692.896622594;4581800.97369898
Actiu;Comerç al detall;Parament de la llar;431658.416956727;4581890.56099855
Actiu;Comerç al detall;Equipament personal;431699.983581274;4581791.4108687
Actiu;Comerç al detall;Equipament personal;431662.267799628;4581882.70451244
Actiu;Comerç al detall;Equipament personal;431702.077236902;4581787.4810523
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431667.233632307;4581874.16712441
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431711.988530275;4581780.12594514
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431705.295370069;4581783.87572091
Actiu;Comerç al detall;Equipament personal;431723.118549214;4581771.19531328
Actiu;Comerç al detall;Equipament personal;431728.027140993;4581768.46772962
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431676.93890123;4581856.87132771
Actiu;Comerç al detall;Quotidià no alimentari;431731.69913717;4581765.41682811
Actiu;Comerç al detall;Equipament personal;431749.086538289;4581754.08114713
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431756.884236268;4581748.53345594
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431766.889962329;4581739.2782888
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431701.183363367;4581811.62057702
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431774.360783977;4581734.73916672
Actiu;Comerç al detall;Equipament personal;431704.135122336;4581803.54909115
Actiu;Comerç al detall;Equipament personal;431707.325873759;4581797.03929786
Actiu;Altres;Altres;431785.289837404;4581728.26835757
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431714.002178632;4581791.502239
Actiu;Serveis;Finances i assegurances;431595.567765827;4581968.34983651
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431694.418732677;4581879.16153985
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431728.60413054;4581782.09200674
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431736.393362806;4581775.65059485
Actiu;Comerç al detall;Equipament personal;431746.524745537;4581767.84668512
Actiu;Comerç al detall;Equipament personal;431752.209880444;4581764.21813719
Actiu;Comerç al detall;Equipament personal;431756.198361243;4581760.67607637
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431698.760229591;4581875.76911376
Actiu;Comerç al detall;Equipament personal;431761.583697312;4581759.32588284
Actiu;Comerç al detall;Equipament personal;431832.735033836;4581860.31945221
Actiu;Comerç al detall;Equipament personal;431827.638669426;4581855.00496112
Actiu;Comerç al detall;Equipament personal;431745.179542291;4581803.60911121
Actiu;Serveis;Altres;431836.899650917;4581861.95602071
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431852.065973734;4581876.78340127
Actiu;Altres;Altres;431846.630116444;4581871.13689622
Actiu;Comerç al detall;Equipament personal;431861.465204051;4581886.52599441
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431868.265572202;4581894.17051084
Actiu;Serveis;Sanitat i assistència;431798.868293385;4581824.55331978
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431845.315579153;4581898.29643442
Actiu;Serveis;Altres;431815.625596131;4581841.60020488
Actiu;Comerç al detall;Equipament personal;431811.551007317;4581837.61666399
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431854.504291209;4581909.49335868
Actiu;Comerç al detall;Equipament personal;431824.793402563;4581850.56295811
Actiu;Comerç al detall;Equipament personal;431820.040751347;4581846.02732079
Actiu;Altres;Altres;431510.487257966;4581710.86289721
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431514.853907896;4581721.99362313
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431516.360174974;4581727.11844181
Actiu;Comerç al detall;Equipament personal;431526.725003089;4581732.15954196
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431627.387388771;4581894.09355042
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431579.029912431;4581725.18572866
Actiu;Altres;Altres;431589.695854108;4581738.37954457
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431644.270048777;4581698.53929329
Actiu;Comerç al detall;Altres;431614.402905951;4581645.1896965
Actiu;Comerç al detall;Quotidià alimentari;431620.630399185;4581653.40408434
Actiu;Comerç al detall;Equipament personal;431625.909479505;4581659.3260333
Actiu;Altres;Altres;431588.68797664;4581655.38144968
Actiu;Comerç al detall;Equipament personal;431609.605790552;4581637.86724865
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431603.121336901;4581628.09712511
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431589.999508443;4581627.99760707
Actiu;Comerç al detall;Equipament personal;431579.191033421;4581635.361349
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431574.09507392;4581642.00099441
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431569.990403254;4581646.73214382
Actiu;Altres;Altres;431613.26053703;4581811.22091371
Actiu;Serveis;Altres;431630.999827984;4581801.55748161
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431566.067201693;4581670.67724225
Actiu;Comerç al detall;Quotidià alimentari;431582.87498513;4581692.97420909
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431586.634502022;4581699.1950434
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431588.91091264;4581702.74854954
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431590.841455458;4581705.29984983
Actiu;Comerç al detall;Quotidià no alimentari;431592.105493502;4581708.52772058
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431594.270829549;4581712.19408244
Actiu;Comerç al detall;Quotidià alimentari;431598.499914969;4581720.64482229
Actiu;Serveis;Altres;431605.082712352;4581728.96165258
Actiu;Serveis;Altres;431608.839999262;4581734.95901912
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431568.79538026;4581674.56166997
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431571.063367273;4581677.22147279
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431575.044959114;4581683.21681526
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431580.042163794;4581689.87284741
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431619.302676377;4581916.73645655
Actiu;Comerç al detall;Quotidià alimentari;431628.868911848;4581908.49092958
Actiu;Serveis;Altres;431624.974982006;4581911.76748069
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431720.790282766;4581702.62190958
Actiu;Serveis;Altres;431610.115983034;4581561.22186582
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431519.271557354;4581607.99722547
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431528.344444965;4581597.15462454
Actiu;Altres;Altres;431541.302253323;4581589.57864425
Actiu;Comerç al detall;Equipament personal;431683.40045006;4581721.51971334
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431692.793814664;4581706.79585908
Actiu;Serveis;Altres;431693.6212384;4581715.50688333
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431699.483555775;4581712.54101725
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431703.933939306;4581710.82454122
Actiu;Comerç al detall;Equipament personal;431707.945485953;4581708.10540008
Actiu;Comerç al detall;Equipament personal;431706.302926449;4581700.41219208
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431669.921862186;4581731.14282954
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431669.924428601;4581719.52403374
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431672.930504537;4581729.10351458
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431677.057314183;4581726.71846312
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431677.172016678;4581715.0986103
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431681.076216486;4581724.78143115
Actiu;Serveis;Altres;431432.85377337;4581743.21365216
Actiu;Altres;Altres;431437.497785287;4581748.08526397
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431442.150164373;4581753.85068844
Actiu;Serveis;Altres;431411.948549501;4581714.58800131
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431400.726824645;4581701.95817392
Actiu;Serveis;Altres;431419.978696281;4581721.77369
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431404.157415067;4581720.80628404
Actiu;Comerç al detall;Equipament personal;431431.528356263;4581733.50666498
Actiu;Comerç al detall;Equipament personal;431441.702727982;4581742.1244476
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431436.163834861;4581737.48457883
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431480.17402281;4581647.9159898
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431487.204714015;4581644.27439915
Actiu;Serveis;Altres;431558.956797637;4581867.70412377
